id,preferred_label,reuse_level,code,skill_category,coreness
0,manage musical staff,sector-specific,S4.8.1,S,0.002187323824928469
1,supervise correctional procedures,occupation-specific,S4.2.1,S,0.0
2,apply anti-oppressive practices,sector-specific,S3.3.0,S,0.0007483964600193353
3,control compliance of railway vehicles regulations,sector-specific,S3.3.3,S,0.04947250855905914
4,identify available services,cross-sector,S3.1.3,S,0.0015772502066966243
5,perform toxicological studies,cross-sector,S2.8.6,S,0.03627306231955575
6,ensure coquille uniformity,occupation-specific,S6.7.3,S,0.0
7,Haskell,sector-specific,K6.0.3,K,0.16058686381674012
8,apply diplomatic principles,cross-sector,S1.1.2,S,0.02379955626058553
9,lead police investigations,sector-specific,S2.1.1,S,0.0008449082543424284
10,handle fish harvesting waste,sector-specific,S6.13.2,S,0.0032791683743606777
11,develop energy saving concepts,cross-sector,S4.1.3,S,0.07749672643170823
12,perform street interventions in social work,sector-specific,S3.1.2,S,0.0
13,work with soloists,sector-specific,S1.8.1,S,0.0006815807264214207
14,sport and exercise medicine,cross-sector,K9.1.2,K,0.05062240833217241
15,conduct research on flora,sector-specific,S2.7.2,S,0.01850078463186594
16,install heat pump,cross-sector,S7.2.1,S,0.0017273578788748294
17,handle equipment while suspended,occupation-specific,S6.2.4,S,0.0
18,teach housekeeping skills,cross-sector,S1.3.5,S,0.004844395437127804
19,check train engines,sector-specific,S2.8.1,S,0.019569477944121987
20,manufacture ingredients,sector-specific,S8.5.4,S,0.03254961200075221
21,maintain aquaculture ponds,occupation-specific,S6.9.2,S,0.0
22,apply credit risk policy,cross-sector,S3.3.3,S,0.017143252517701796
23,handle customer requests related to cargo,occupation-specific,S3.4.1,S,0.0
24,utilise advanced clinical skills,sector-specific,S3.2.1,S,0.007819410565151055
25,Incremental development,sector-specific,K6.0.3,K,0.03284597666400388
26,use of special equipment for daily activities,occupation-specific,K9.1.5,K,0.0
27,sawing techniques,sector-specific,K7.2.2,K,0.013987700332093242
28,produce guitar components,sector-specific,S6.5.1,S,0.0
29,operate agricultural machinery,sector-specific,S8.1.2,S,0.07880336870214913
30,control pyrotechnics stock,occupation-specific,S6.1.1,S,0.0
31,guarantee customer satisfaction,sector-specific,A1.12.3,A,0.21418596805102008
32,manufacture wearing apparel products,sector-specific,S6.5.6,S,0.0007559810450352503
33,cure tobacco leaves,sector-specific,S6.5.8,S,0.0009801000774678872
34,develop a rehabilitation programme,cross-sector,S3.2.4,S,0.007457833790404638
35,maintain inventory of cleaning supplies,sector-specific,S2.2.5,S,0.011358871558832908
36,cold vulcanisation,occupation-specific,K7.1.1,K,0.0
37,supervise housekeeping operations,sector-specific,S4.2.1,S,0.006082459592657787
38,act as contact person during equipment incident,cross-sector,S3.3.1,S,0.0353970566332108
39,manage time in landscaping,sector-specific,S4.2.2,S,0.0016084326580621067
40,advise customers,sector-specific,S1.5.3,S,0.01110913872359428
41,manage university department,occupation-specific,S4.2.1,S,0.0
42,develop terminology databases,sector-specific,S2.3.0,S,0.004941853557162698
43,assess nutritional characteristics of food,sector-specific,S3.5.1,S,0.019471200364290765
44,repair electric bicycles,occupation-specific,S8.8.1,S,0.0
45,maintain sorting equipment,sector-specific,S8.7.2,S,0.00012828476763121268
46,explain features in accommodation venue,sector-specific,S3.4.1,S,0.0037181398073096975
47,types of barley,sector-specific,K7.2.1,K,0.007691124335840781
48,KDevelop,sector-specific,K6.0.2,K,0.027531890639577776
49,carry out parts purchasing,sector-specific,S1.6.3,S,0.010398883205275107
50,inspect offshore constructions,cross-sector,S1.5.1,S,0.012398328961961531
51,transport patient to medical facility,sector-specific,S3.6.1,S,0.0005575492420636355
52,adjust envelope cutting settings,occupation-specific,S8.5.8,S,0.0
53,prepare oils,sector-specific,S6.3.1,S,0.0
54,purchase supplies,sector-specific,S1.6.3,S,0.01953931533395254
55,pursue excellence in the creation of food products,sector-specific,S1.11.3,S,0.0034015586015593334
56,maintain personal hygiene standards when cleaning,sector-specific,A1.3.0,A,0.0109838292569037
57,liaise with typists,cross-sector,S1.2.1,S,0.0
58,assess railway operations,sector-specific,S2.1.1,S,0.014671685333494782
59,practise extreme sports,occupation-specific,S1.14.1,S,0.0
60,provide chaperone for children on set,occupation-specific,S3.6.3,S,0.0
61,organise labour,cross-sector,S4.2.0,S,0.02514963368986581
62,use glass engraving tools,sector-specific,S8.5.8,S,0.0036856157766951706
63,operate wrecking ball,sector-specific,S8.1.1,S,0.0004906569830132895
64,evaluate garment quality,cross-sector,S2.8.1,S,0.01460035614760595
65,apply for refunds,occupation-specific,S4.4.2,S,0.0
66,Absorb (learning management systems),sector-specific,K6.0.2,K,0.0
67,peform small vessel administrative duties,occupation-specific,S4.4.0,S,0.0
68,cosmetics ingredients,sector-specific,K10.1.2,K,0.037389285132052225
69,human dynamics as part of hospitality security,occupation-specific,K10.3.2,K,0.0
70,advise on construction materials,cross-sector,S1.5.3,S,0.13987745811961247
71,maintain rotating equipment,sector-specific,S8.7.2,S,0.008058209831387398
72,manage volunteers in second-hand shop,occupation-specific,S4.8.1,S,0.0
73,pump products for storage,occupation-specific,S6.2.3,S,0.0
74,medico-biological and medical sciences related to dentistry,sector-specific,K9.1.1,K,0.008542696156441274
75,attend to detail in casting processes,sector-specific,A1.2.0,A,0.004498011359314545
76,biomedical science,cross-sector,K5.1.2,K,0.06287723084255316
77,keep up to date on product knowledge,sector-specific,S2.9.0,S,0.025595262737489646
78,write Hungarian,transversal,,L_use,0.0
79,monitor drilling fluid,sector-specific,S2.8.1,S,0.001674506757132922
80,develop efficiency plans for maritime shipping,sector-specific,S4.2.2,S,0.004307030281010293
81,tend packaging machines,cross-sector,S8.5.2,S,0.027503133902008915
82,advise on clay products handling,occupation-specific,S1.5.3,S,0.0
83,maintain drilling equipment,sector-specific,S8.7.2,S,0.012738875422975625
84,control tree diseases,sector-specific,S6.4.1,S,0.00130568541390257
85,analyse the artistic concept based on stage actions,sector-specific,S2.7.0,S,0.007177327907066625
86,migrate existing data,sector-specific,S5.5.2,S,0.0614354095345201
87,manage supplies,cross-sector,S4.3.3,S,0.331409222142286
88,human factors regarding safety,sector-specific,K10.2.2,K,0.007084012184063955
89,perform roof maintenance,sector-specific,S7.1.5,S,0.0015495129228904859
90,types of digesters,sector-specific,K5.3.1,K,0.001059869116892861
91,define database physical structure,sector-specific,S5.5.2,S,0.003917937585202114
92,lay stones,occupation-specific,S7.1.1,S,0.0
93,assemble circus rigging equipment,occupation-specific,S7.1.8,S,0.0
94,perform oral health diagnosis,occupation-specific,S2.1.2,S,0.0
95,geomatics,cross-sector,K5.3.2,K,0.021752067532561998
96,contamination exposure regulations,cross-sector,K10.2.1,K,0.041251510914436886
97,Maltego,sector-specific,K6.0.3,K,0.0
98,search historical sources in archives,cross-sector,S2.4.1,S,0.006715723670971597
99,supervise performers' fights,occupation-specific,S4.8.1,S,0.0
100,develop script bible,occupation-specific,S1.13.2,S,0.0
101,operate radio equipment,cross-sector,S8.6.4,S,0.06840714489932057
102,remove contaminated materials,sector-specific,S6.13.1,S,0.012030124438662661
103,inspect paint quality,cross-sector,S2.8.1,S,0.00605996182472678
104,styles of boxes,sector-specific,K7.2.2,K,0.0004626195214735074
105,collect property financial information,sector-specific,S2.4.1,S,0.03171469785193555
106,trace financial transactions,cross-sector,S2.8.2,S,0.08410545791499008
107,contribute to quality physiotherapy services,sector-specific,A1.12.1,A,0.008237863450418745
108,install radtors,occupation-specific,S7.2.1,S,0.0
109,advise customers on usage of care products for pets,sector-specific,S1.5.3,S,0.01943675677576326
110,operate remote sensing equipment,cross-sector,S8.6.3,S,0.014937593140108034
111,calculate stairs rise and run,occupation-specific,S2.6.1,S,0.0
112,first aid for animals,sector-specific,K8.4.0,K,0.006836508768166606
113,empathise with outdoor groups,sector-specific,S4.8.3,S,0.0003378702427723959
114,provide context to news stories,sector-specific,S1.4.1,S,0.0
115,circuit diagrams,sector-specific,K6.0.2,K,0.1181249579578876
116,draw up artistic production,sector-specific,S2.2.6,S,0.03236439267733049
117,install passenger service units,occupation-specific,S6.7.0,S,0.0
118,understand written Korean,transversal,,L_use,0.0
119,keep records of bridge investigation findings,sector-specific,S2.2.2,S,0.0
120,sand blasting machine parts,occupation-specific,K6.0.2,K,0.0
121,create model,occupation-specific,S6.6.3,S,0.0
122,follow control of substances hazardous to health procedures,sector-specific,S6.13.1,S,0.1233774774746401
123,assess visual impact of displays,sector-specific,S2.7.0,S,0.0015343280463592218
124,select glassware for serving,sector-specific,S3.5.2,S,0.00013448221043115642
125,cardiovascular system,sector-specific,K9.1.2,K,0.0069106083670021495
126,biosecurity related to animals,sector-specific,K8.4.0,K,0.02221764634133496
127,check information on prescriptions,sector-specific,S2.7.2,S,0.0020032572946755947
128,assume responsibility for maintaining a safe ship environment,sector-specific,S3.3.1,S,0.005779152161357185
129,follow hygienic practices in fishery operations,sector-specific,S3.3.1,S,0.007570212464221668
130,supervise work on design planning,cross-sector,S4.2.1,S,0.02358986266730535
131,measure trees,cross-sector,S2.5.1,S,0.008491724686792958
132,bend staves,occupation-specific,S8.5.0,S,0.0
133,select music for performance,sector-specific,S1.14.2,S,0.0212593316942955
134,geological mapping,sector-specific,K5.3.2,K,0.00999728169449124
135,tend electron beam welding machine,sector-specific,S8.5.7,S,0.0
136,inspect table settings,sector-specific,S3.5.2,S,0.010791451300750576
137,drive automatic car,cross-sector,S8.2.2,S,0.006209349692612511
138,prepare intravenous packs,occupation-specific,S3.2.5,S,0.0
139,configure electronic equipment,occupation-specific,S8.8.1,S,0.0
140,Erlang,sector-specific,K6.0.3,K,0.15870154235521036
141,operate specialised equipment in emergency,sector-specific,S8.6.1,S,0.00754401638511734
142,plan retail space,occupation-specific,S1.11.4,S,0.0
143,write leaflets,sector-specific,S1.13.2,S,0.03461527673300237
144,use jewellery equipment,sector-specific,S6.7.4,S,0.009860963643533284
145,taste wines,occupation-specific,S2.7.0,S,0.0
146,manufacturing of taps and valves,sector-specific,K10.2.1,K,0.0037601749331306676
147,check sensorial parameters of oils and fats,sector-specific,S2.8.0,S,0.0031300695383980255
148,maintain coquille parts,occupation-specific,S7.1.6,S,0.0
149,understand spoken Hungarian,transversal,,L_use,0.0
150,schedule maintenance of airport electrical systems,occupation-specific,S4.2.2,S,0.0
151,provide pre-hospital emergency care of trauma,occupation-specific,S3.2.1,S,0.0
152,history of tobacco,sector-specific,K2.2.2,K,0.0022898171690835414
153,carry out event management,cross-sector,S4.2.2,S,0.01118306575365528
154,understand spoken Welsh,transversal,,L_use,0.0
155,manage ICT data classification,sector-specific,S5.5.2,S,0.011530890477631268
156,keep sheet records,sector-specific,S2.2.5,S,0.0014238505408765878
157,work in an economically efficient manner,cross-sector,A1.15.0,A,0.017424595015746922
158,brush rubber cement,sector-specific,S6.7.3,S,0.0018243327418762407
159,develop leather goods collection,sector-specific,S1.11.5,S,0.0005804084268526311
160,create solutions to problems,cross-sector,S1.9.1,S,0.751921605121558
161,analyse cultural trends,cross-sector,S2.9.0,S,0.028767506167086312
162,assess cage water quality,sector-specific,S2.8.8,S,0.009951424197006096
163,understand the architecture of a live performance,sector-specific,S1.12.3,S,0.0
164,apply electrolytes to cathodes and anodes,cross-sector,S6.3.3,S,0.0063374665325148585
165,hair cutting techniques,occupation-specific,K10.1.2,K,0.0
166,manage claim files,sector-specific,S2.3.0,S,0.011531599214221694
167,rescue animals,sector-specific,S3.3.5,S,0.004369925952013694
168,guide ships into docks,cross-sector,S8.3.0,S,0.007853419703779277
169,criminology,cross-sector,K3.1.4,K,0.03294240228363145
170,information structure,sector-specific,K6.0.2,K,0.067229452819284
171,test materials,cross-sector,S2.8.8,S,0.019522052134501425
172,update message displays,occupation-specific,S3.4.1,S,0.0
173,operate a forecourt site,sector-specific,S4.0.0,S,0.0
174,unload cargo,cross-sector,S6.2.1,S,0.005888816256215667
175,photogrammetry,cross-sector,K7.3.1,K,0.022443989480279824
176,interact with programmer on intention of consultancy work,sector-specific,S1.2.1,S,0.0
177,communicate house rules,cross-sector,S1.4.1,S,0.003211398099022201
178,control train departures,occupation-specific,S4.2.2,S,0.0
179,manipulate dental material,cross-sector,S6.5.2,S,0.006455057902215481
180,forensic pathology,occupation-specific,K9.1.2,K,0.0
181,techniques of blood-sampling,sector-specific,K9.1.3,K,0.022578833546103506
182,hygiene in a health care setting,cross-sector,K10.2.2,K,0.08622726878873714
183,design beer recipes,occupation-specific,S1.11.3,S,0.0
184,finish plastic products,cross-sector,S8.5.8,S,0.034110883578769756
185,keep up with digital transformation of industrial processes,sector-specific,S2.9.0,S,0.15404262036884342
186,plan team building,cross-sector,S4.6.0,S,0.015288770176316593
187,give advice to others,transversal,S1.5.0,S,0.0
188,perform manual spiral binding,occupation-specific,S6.8.2,S,0.0
189,place orders for orthopedic products,sector-specific,S1.6.3,S,0.00918528266626856
190,interact verbally in Bosnian,transversal,,L_use,0.0
191,emboss designs,sector-specific,S8.5.0,S,0.002445905303242816
192,monitor flour unloading equipment,sector-specific,S6.2.1,S,0.001107145230333538
193,maintain statutory books,cross-sector,S2.2.2,S,0.006616520709210985
194,wash the laundry,sector-specific,S6.12.0,S,0.006923786759633441
195,organise homecare for patients,occupation-specific,S3.1.3,S,0.0
196,load cargo,cross-sector,S6.2.1,S,0.0058888162562156674
197,deliver case notes,occupation-specific,S2.2.4,S,0.0
198,check quality of enamel,occupation-specific,S2.7.6,S,0.0
199,monasticism,occupation-specific,K2.2.1,K,0.0
200,understand written Latvian,transversal,,L_use,0.0
201,trim excess materials,sector-specific,S6.7.1,S,0.00832848055688304
202,respond to changing situations in health care,cross-sector,A1.1.0,A,0.0975801974808589
203,write Finnish,transversal,,L_use,0.0
204,tend drying equipment,sector-specific,S8.4.7,S,0.0011482879178538305
205,manage freight payment methods,sector-specific,S4.4.2,S,0.011343609896999281
206,keep food laboratory inventory,sector-specific,S4.3.3,S,0.005473946651776612
207,tramway regulations,sector-specific,K10.4.0,K,0.0027623407616914754
208,rehabilitate worn dentition,occupation-specific,S3.2.1,S,0.0
209,coordinate flight schedules,sector-specific,S4.2.2,S,0.0027463538661693316
210,understand spoken Punjabi,transversal,,L_use,0.0
211,embargo regulations,sector-specific,K4.2.0,K,0.007387387375888098
212,set up office equipment,occupation-specific,S4.4.3,S,0.0
213,advise on bankruptcy proceedings,cross-sector,S1.5.1,S,0.006288131351167503
214,sell processed timber in a commercial environment,cross-sector,S1.6.1,S,0.015089711243819309
215,provide technical documentation,cross-sector,S2.2.6,S,0.2992059736586616
216,slaughter animals,sector-specific,S6.9.4,S,0.00019360020052407227
217,develop policies for nutritional programs,cross-sector,S4.1.3,S,0.005980159150207873
218,perform live,sector-specific,S1.14.2,S,0.012137182422999607
219,teach nursing principles,occupation-specific,S1.3.1,S,0.0
220,take advantage of learning opportunities in veterinary science,sector-specific,S2.9.0,S,0.008056787100053009
221,support harmed social service users,cross-sector,S3.1.2,S,0.005034912627389154
222,SAS language,sector-specific,K6.0.3,K,0.20772614633040654
223,use an application-specific interface,transversal,S5.0.0,S,0.0
224,design electrical systems,cross-sector,S1.11.2,S,0.03562271975235059
225,weld in hyperbaric conditions,occupation-specific,S7.1.6,S,0.0
226,weigh shipments,sector-specific,S2.5.2,S,0.009266361673005645
227,operate concrete casting machine,sector-specific,S8.5.0,S,0.003935920918798631
228,promote fitness customer referral,sector-specific,S1.6.2,S,1.4060187926719834e-05
229,audit contractors,cross-sector,S2.7.3,S,0.05061604102620995
230,fish grading,sector-specific,K8.3.0,K,0.013046685091555649
231,carry out inventory planning,sector-specific,S4.2.2,S,0.08624517074169358
232,compose energy performance contracts,sector-specific,S1.13.3,S,0.03969362375329347
233,pass on trade techniques,cross-sector,S1.3.3,S,0.01811311601328319
234,treat animals ethically,sector-specific,A2.3.0,A,0.007535996896007442
235,define firewall rules,sector-specific,S5.2.2,S,0.002496350111710427
236,continuous improvement philosophies,cross-sector,K2.2.3,K,0.10075308303025435
237,otorhinolaryngologic conditions,occupation-specific,K9.1.2,K,0.0
238,prepare livestock for artificial insemination,occupation-specific,S6.9.7,S,0.0
239,operate production drilling machine,occupation-specific,S8.4.1,S,0.0
240,carry out quality control in microbiology laboratories,sector-specific,S8.6.3,S,0.0
241,operate warehouse record systems,sector-specific,S2.2.5,S,0.009321421888054014
242,examine geochemical samples,sector-specific,S2.8.8,S,0.03058639060931065
243,perform upholstery restoration of classic cars,occupation-specific,S6.5.5,S,0.0
244,supervise medical office support workers,sector-specific,S4.8.1,S,0.005549586917800299
245,follow detailed procedures for relocating specific goods,sector-specific,S1.8.5,S,0.0037491806475502074
246,cut tobacco leaves,sector-specific,S6.7.1,S,0.00032060200081176354
247,materials in porcelain manufacturing,sector-specific,K7.2.2,K,0.004633349830251039
248,remove road surface,sector-specific,S6.7.5,S,0.00513531071391155
249,types of cargo,sector-specific,K10.1.5,K,0.012972196386458468
250,knitting machine technology,sector-specific,K7.2.3,K,0.010092286108878915
251,carry out shellfish depuration procedures,occupation-specific,S6.9.2,S,0.0
252,provide humanitarian aid,cross-sector,S3.4.4,S,0.007434182724339516
253,provide pre-treatment information,sector-specific,S3.4.1,S,0.0015933274748254848
254,CryEngine,sector-specific,K2.1.1,K,0.005646037915311387
255,organise rehearsals,sector-specific,S4.2.2,S,0.049418149289773255
256,produce materials for decision making,sector-specific,S2.2.1,S,0.0017899626088247627
257,manage hospital-acquired infections,sector-specific,S3.2.1,S,0.0
258,coordinate manufacturing production activities,cross-sector,S4.2.2,S,0.01230278049272196
259,inspect airfield facilities,occupation-specific,S2.8.4,S,0.0
260,extrusion processes,occupation-specific,K7.1.5,K,0.0
261,supervise employees in food production plants,occupation-specific,S4.8.1,S,0.0
262,fabricate V-belts,occupation-specific,S6.5.0,S,0.0
263,repair insulating tube winding machinery,occupation-specific,S8.7.1,S,0.0
264,check carriages,sector-specific,S6.11.1,S,0.0037355018923663024
265,operate patients with thoracic diseases,sector-specific,S3.2.2,S,0.0
266,assess environmental influences on bovine feet,occupation-specific,S1.5.5,S,0.0
267,install facade cladding,occupation-specific,S7.3.4,S,0.0
268,typology of meat parts,sector-specific,K7.2.1,K,0.00016166673901736383
269,solar energy,cross-sector,K7.1.3,K,0.06741226790153672
270,eating disorders,sector-specific,K3.1.3,K,0.00817602655915584
271,operate crosscut saw,cross-sector,S6.7.1,S,0.010040550948198461
272,put adhesive on plies,occupation-specific,S7.3.2,S,0.0
273,customer insight,sector-specific,K4.1.4,K,0.03618170508365075
274,crimping,cross-sector,K7.1.5,K,0.0031629362989254567
275,handle bulk transfer of raw material,sector-specific,S8.4.0,S,0.009959960266018822
276,critique the dive with the dive team,cross-sector,S1.8.3,S,0.016487349740843735
277,monitor crops,sector-specific,S6.4.1,S,0.016279722702431523
278,use CAD for soles,sector-specific,S5.6.3,S,0.00043745668958738206
279,create 3D environments,sector-specific,S1.11.5,S,0.016855426519211698
280,perform online data analysis,cross-sector,S5.5.2,S,0.0488518522658714
281,create floor plan template,sector-specific,S6.6.2,S,0.003926841249669835
282,test paper production samples,sector-specific,S2.8.8,S,0.014683130216491168
283,manage land resources permits,sector-specific,S2.2.3,S,0.0
284,manage IT security compliances,sector-specific,S5.5.2,S,0.01845199208422108
285,negotiate with suppliers for visual material,sector-specific,S1.1.1,S,0.0015343280463592218
286,manage process of flexographic print,sector-specific,S8.5.6,S,0.00421860951981106
287,electrical mine machinery manuals,sector-specific,K7.2.4,K,0.0014227940978814347
288,footwear finishing techniques,sector-specific,K7.2.3,K,0.0006636059638876621
289,load animals for transportation,cross-sector,S6.9.3,S,0.008005949064329328
290,perform venepuncture procedures,sector-specific,S3.2.2,S,0.0035789633886383057
291,load film,occupation-specific,S6.2.1,S,0.0
292,handle refrigerant transfer pumps,cross-sector,S8.4.3,S,0.0022217466202849737
293,collect dead fish,sector-specific,S6.9.2,S,0.005694192860012739
294,design sprinkler systems,occupation-specific,S1.11.5,S,0.0
295,identify statistical patterns,cross-sector,S2.7.2,S,0.008591806652181575
296,surgical instruments,occupation-specific,K9.1.2,K,0.0
297,measure sugar refinement,sector-specific,S2.5.1,S,0.001042809206852528
298,carry out products preparation,sector-specific,S6.5.0,S,0.010138787242210574
299,teach archaeology,occupation-specific,S1.3.1,S,0.0
300,operate oil pumping systems,sector-specific,S8.4.3,S,0.006250956162995775
301,operate middlings purifier,occupation-specific,S8.5.4,S,0.0
302,understand the animal's situation,sector-specific,S6.9.1,S,0.008609330744858826
303,molecular and cellular immunology,occupation-specific,K5.1.1,K,0.0
304,monitor curriculum implementation,sector-specific,S2.8.2,S,0.0003999468142215649
305,harvest grapes,sector-specific,S6.4.3,S,0.00095402506630332
306,identify the dietetic professional quality of care,occupation-specific,S3.3.4,S,0.0
307,monitor tank thermometer,sector-specific,S2.8.1,S,0.0015731484656813404
308,workplace sanitation,cross-sector,K10.2.1,K,0.008168315240165624
309,operate centrifuges,sector-specific,S8.4.0,S,0.008750446971350188
310,organise harvests,occupation-specific,S4.2.2,S,0.0
311,transfer kiln-baked products,sector-specific,S6.2.1,S,0.0006446234828745603
312,remove snow from airport operational areas,occupation-specific,S6.11.3,S,0.0
313,deal with unforeseen incidents in hospitality,occupation-specific,S1.9.1,S,0.0
314,maintain cutting equipment,cross-sector,S8.7.2,S,0.012692045369947742
315,wet tumbling,cross-sector,K7.1.5,K,0.004592707759345928
316,calculate optimal time for insemination,occupation-specific,S2.6.1,S,0.0
317,translate keywords into full texts,cross-sector,S2.4.2,S,0.008355306777149437
318,lead the dental team,occupation-specific,S4.8.1,S,0.0
319,sterilise working environment,sector-specific,S6.11.1,S,0.003371963484348139
320,keywords in digital content,sector-specific,K6.0.1,K,0.013545669467182291
321,apply related sciences to music therapy,sector-specific,S3.2.4,S,0.0013172742466245058
322,legal studies,sector-specific,K4.2.0,K,0.005760703323713512
323,alter management,cross-sector,S4.0.0,S,0.001572058696562615
324,theoretical lexicography,cross-sector,K2.3.2,K,0.009987647610315715
325,manage children's problems,cross-sector,S3.6.3,S,0.0359583369871733
326,operate grease gun,sector-specific,S6.7.0,S,0.0017718145790304918
327,demonstrate proficiency in packaging standards,cross-sector,S6.1.3,S,0.0040029058364912575
328,advise on consumer rights,sector-specific,S1.5.1,S,0.005709766073211644
329,model medical devices,sector-specific,S5.6.3,S,0.0
330,mark film reels,occupation-specific,S6.1.2,S,0.0
331,energy market,cross-sector,K7.1.3,K,0.12318415716413846
332,engineer seismic equipment,occupation-specific,S1.11.5,S,0.0
333,stack timber,sector-specific,S6.2.3,S,0.0020119442907345127
334,manage a healthcare unit budget,cross-sector,S4.3.1,S,0.005806477677995492
335,cultivate crops for biomass,sector-specific,S6.4.1,S,0.0
336,use experience map,sector-specific,S5.5.2,S,0.0015481351705799533
337,protection from natural elements,cross-sector,K5.2.2,K,0.00876093535317564
338,general principles of food law,sector-specific,K7.2.1,K,0.01645695499435013
339,manage technical aspects of vineyard production,occupation-specific,S4.2.1,S,0.0
340,use a water-fed pole system,occupation-specific,S6.11.2,S,0.0
341,manage sport facility finances,sector-specific,S4.3.1,S,0.0014388997758889778
342,mergers and acquisitions,cross-sector,K4.1.3,K,0.03111855165533707
343,manage government-funded programmes,cross-sector,S4.2.1,S,0.054228481864167774
344,horse racing regulation,occupation-specific,K10.3.2,K,0.0
345,captioning software,occupation-specific,K6.0.3,K,0.0
346,place orders for clothing merchandise,occupation-specific,S1.6.3,S,0.0
347,operate tissue sheet binder,occupation-specific,S8.5.0,S,0.0
348,provide medicines information,occupation-specific,S3.4.1,S,0.0
349,cooperate with education professionals,cross-sector,S1.2.3,S,0.07656453569761612
350,insert semen,occupation-specific,S6.9.7,S,0.0
351,technical equipment for crop production,sector-specific,K8.1.1,K,0.0
352,operate warehouse materials,cross-sector,S8.1.3,S,0.007911199070762051
353,normalise data,sector-specific,S5.5.2,S,0.006492311202132702
354,interact verbally in Occitan,transversal,,L_use,0.0
355,safe use of pesticides,sector-specific,K8.1.1,K,0.0010261399756534822
356,respond to visitor complaints,cross-sector,S1.1.3,S,0.009627060764847786
357,interact verbally in Czech,transversal,,L_use,0.0
358,stock tobacco products machines with materials,sector-specific,S6.8.2,S,0.0009896942170282681
359,glass tempering,cross-sector,K7.2.2,K,0.005148766528797627
360,electrooptic devices,sector-specific,K5.3.3,K,0.002457081214968333
361,electron beam welding machine parts,sector-specific,K7.1.5,K,0.0
362,work in an international environment,sector-specific,S1.8.1,S,0.028367737076126796
363,inspect silo systems,sector-specific,S3.3.2,S,0.011288248056791692
364,display betting information,sector-specific,S1.4.1,S,0.007063070836669481
365,ensure compliance with port regulations,sector-specific,S3.3.3,S,0.004415901186610569
366,understand written Ukrainian,transversal,,L_use,0.0
367,theories of personality,cross-sector,K3.1.3,K,0.002939457711805787
368,inspect drilling equipment,sector-specific,S2.8.1,S,0.007152115095080121
369,respect publication formats,cross-sector,S1.13.0,S,0.01245710787577447
370,use snow-removal equipment,sector-specific,S6.7.0,S,0.005120480784540458
371,create prototype of user experience solutions,sector-specific,S5.5.2,S,0.02104382216716314
372,wear cleanroom suit,cross-sector,S3.3.1,S,0.0701361725105035
373,monitor stamp machine,sector-specific,S8.5.6,S,0.0
374,apply system organisational policies,cross-sector,S3.3.3,S,0.02375734530782484
375,propose ICT solutions to business problems,cross-sector,S1.11.1,S,0.02839681889379789
376,start up chocolate moulding line,occupation-specific,S8.5.4,S,0.0
377,calculate costs of repair operations,sector-specific,S2.6.3,S,0.006758740138831372
378,manage different pottery materials,sector-specific,S6.6.1,S,0.012661694171814251
379,interpret scientific data to assess water quality,cross-sector,S2.7.2,S,0.03330039440629687
380,tolerate strong smells,cross-sector,A1.14.0,A,0.013498193535588902
381,create sculptures,sector-specific,S1.12.3,S,0.010892385389035353
382,typography,cross-sector,K2.3.2,K,0.010861113578847063
383,plan procedures for cargo operations,sector-specific,S4.2.2,S,0.002726973139754814
384,tend heated-air tower,occupation-specific,S8.5.0,S,0.0
385,develop event topics,occupation-specific,S4.2.2,S,0.0
386,mechanical forging press parts,cross-sector,K7.1.5,K,0.005428821281278403
387,national population census,occupation-specific,K3.1.4,K,0.0
388,identify physical characteristics of performer,occupation-specific,S2.5.2,S,0.0
389,manufacture textile floor coverings,sector-specific,S8.5.3,S,0.0016296177201715165
390,tend tunnel kiln,occupation-specific,S8.4.7,S,0.0
391,operate follow spots,sector-specific,S8.6.2,S,0.0009640730572356638
392,environmental policy,cross-sector,K5.2.1,K,0.16476091260049447
393,monitor conditions affecting train movement,occupation-specific,S2.8.0,S,0.0
394,cooperate with colleagues,cross-sector,S1.8.1,S,0.05559957211260622
395,market trends in sporting equipment,sector-specific,K4.1.4,K,0.007101428002640027
396,focus on passengers,sector-specific,S3.4.4,S,0.009927116500480403
397,accounting department processes,sector-specific,K4.1.1,K,0.05795422103432563
398,perform business research,sector-specific,S2.1.1,S,0.047894995429738636
399,recognise fake goods,occupation-specific,S8.6.3,S,0.0
400,organise participation in international events,occupation-specific,S4.2.2,S,0.0
401,differentiate between maxillofacial tissues,occupation-specific,S2.1.2,S,0.0
402,tend swaging machine,occupation-specific,S8.4.2,S,0.0
403,draw off wash water,sector-specific,S6.13.1,S,0.0006413304287769303
404,clinical reports,sector-specific,K9.1.3,K,0.015085657337216155
405,WizIQ,sector-specific,K6.0.2,K,0.004172494782617043
406,communicate with waste treatment facilities,occupation-specific,S1.2.1,S,0.0
407,administer ICT system,sector-specific,S5.2.1,S,0.029996803860953134
408,prepare leather goods samples,sector-specific,S2.8.8,S,0.0010905585395318332
409,understand written Spanish,transversal,,L_use,0.0
410,understand the physical language of a live performance,sector-specific,S1.12.3,S,0.0
411,measure chemical substance viscosity,sector-specific,S8.6.6,S,0.018578504022764435
412,perform pest control,sector-specific,S3.3.2,S,0.02128522625169369
413,represent artistic production,sector-specific,S1.2.3,S,0.013591011118929073
