task_id,task,detailed_work_activity,intermediate_work_activity,element,mean_task_SML,impact,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,qD,q19,q20,q21,q22,q23
22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Recommend organizational process or policy changes.,Advise others on business or operational matters.,Provide Consultation and Advice to Others,3.4375,-0.040735351386573804,4.25,3.75,3.25,3.75,3.5,3.0,3.25,3.5,3.0,3.25,3.5,3.0,3.75,3.5,4.5,4.25,3.5,3.5,4.5,3.5,3.25,3.25,3.0,3.0
23,"Acquire, distribute and store supplies.","Purchase materials, equipment, or other resources.",Purchase goods or services.,Monitoring and Controlling Resources,3.475,-0.055853435720700784,4.0,3.5,4.0,3.5,4.0,3.5,3.25,3.5,3.5,3.5,3.5,3.25,3.5,3.5,3.25,3.5,4.0,4.0,4.0,3.25,3.5,3.5,2.75,2.5
24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Prepare operational budgets.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",3.825,-0.23280566792495128,4.5,3.5,3.5,3.5,4.5,3.5,3.5,4.0,3.5,3.5,3.5,3.0,3.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,3.5,3.5,5.0,5.0
25,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",Manage construction activities.,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates",3.125,0.08773717340871734,4.0,3.0,3.5,4.0,2.0,4.0,3.0,4.5,2.0,5.0,4.5,3.0,1.0,2.0,4.5,3.5,2.5,2.0,4.5,1.0,3.0,3.5,2.0,3.0
26,Hire and terminate clerical and administrative personnel.,Hire personnel.,Perform recruiting or hiring activities.,Staffing Organizational Units,2.975,0.16213837040421897,3.5,3.0,3.0,2.0,3.0,3.0,2.5,3.5,2.0,2.5,3.5,3.0,3.5,2.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0,4.0,3.0,3.0
27,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",Direct facility maintenance or repair activities.,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.25,0.034076654013694974,3.5,3.5,3.0,3.0,2.5,3.0,3.5,3.0,3.0,4.0,4.0,3.5,3.0,3.0,4.0,4.0,3.0,3.5,4.0,3.0,3.0,3.5,3.0,3.0
28,Manage leasing of facility space.,"Purchase materials, equipment, or other resources.",Purchase goods or services.,Monitoring and Controlling Resources,3.15,0.06835478022675145,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
29,"Participate in architectural and engineering planning and design, including space and installation management.",Plan facility layouts or designs.,Design structures or facilities.,Thinking Creatively,3.25,0.030410386622117258,3.0,3.0,4.0,3.5,3.5,4.0,4.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5,4.0,3.5,4.0,3.5,4.0,3.0,4.0,3.0,2.0,2.0
30,Conduct classes to teach procedures to staff.,Conduct employee training programs.,Train others on operational or work procedures.,Training and Teaching Others,3.325,0.0018640749066589635,3.5,4.0,3.0,4.0,3.0,3.5,2.0,3.5,3.0,4.0,4.0,2.5,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.5,3.0,4.0,3.0,3.0
32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.","Direct organizational operations, projects, or services.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.5125,-0.002950860677745304,4.0,3.5,3.5,3.5,4.0,3.5,3.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,4.0,2.75,3.0
33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",Prepare operational budgets.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",3.875,-0.05965801190000963,4.5,3.75,4.25,3.75,4.75,3.25,4.25,4.0,2.25,3.25,3.75,3.0,3.5,4.0,4.5,3.25,3.5,4.5,4.5,4.25,3.75,4.25,4.5,4.0
34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Analyze data to inform operational decisions or activities.,Analyze data to improve operations.,Analyzing Data or Information,3.375,0.02033998530199632,4.5,4.5,3.5,3.5,3.0,2.0,3.5,3.0,3.0,3.5,3.0,2.0,4.5,3.0,5.0,4.5,3.0,3.0,5.0,3.0,3.5,3.5,3.0,3.0
35,Review operations and confer with technical or administrative staff to resolve production or processing problems.,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",3.5375,-0.00707466436700166,3.5,4.0,3.75,3.5,3.0,3.75,3.25,3.75,3.5,3.5,4.0,3.5,3.25,3.25,3.25,3.75,3.25,3.5,4.0,3.0,3.5,4.0,3.5,3.25
36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",Hire personnel.,Perform recruiting or hiring activities.,Staffing Organizational Units,3.3083333333333327,0.029706430839794074,3.6666666666666665,3.333333333333333,3.333333333333333,3.0,3.0,3.5,2.833333333333333,3.8333333333333335,2.833333333333333,3.5,3.6666666666666665,3.0,3.5,3.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.333333333333333,4.0,2.6666666666666665,3.1666666666666665,4.0,3.1666666666666665,3.1666666666666665
37,Initiate or coordinate inventory or cost control programs.,Manage control system activities in organizations.,Manage control systems or activities.,"Guiding, Directing, and Motivating Subordinates",3.05,0.06701027391987502,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,3.5,3.5
38,Prepare and maintain production reports or personnel records.,Prepare operational progress or status reports.,Prepare reports of operational or procedural activities.,Documenting/Recording Information,3.5125,-0.0027772686875513486,4.25,3.0,3.0,4.0,3.25,3.25,3.0,4.0,3.5,3.25,4.0,3.75,3.5,4.0,3.25,3.75,3.5,4.0,4.0,3.0,4.0,3.5,3.0,3.0
39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.","Develop operating strategies, plans, or procedures.","Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,3.9125,-0.06590340217392932,4.0,3.5,4.25,3.5,4.0,4.0,4.0,4.25,4.0,4.5,3.75,4.25,3.75,3.5,4.25,4.25,3.75,3.5,4.25,4.0,3.75,4.0,3.5,3.5
40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports, to detect production problems.",Develop organizational methods or procedures.,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,3.6,-0.01770610536006867,4.166666666666667,3.8333333333333335,3.8333333333333335,3.5,3.6666666666666665,3.333333333333333,3.8333333333333335,3.6666666666666665,3.333333333333333,3.8333333333333335,3.5,3.333333333333333,4.166666666666667,3.6666666666666665,4.0,4.166666666666667,3.6666666666666665,3.6666666666666665,4.333333333333333,3.333333333333333,3.1666666666666665,3.8333333333333335,3.0,2.6666666666666665
41,Review plans and confer with research or support staff to develop new products or processes.,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",3.6,-0.014786823864159082,3.5,3.75,4.5,3.75,3.5,3.25,3.75,4.25,3.5,3.25,4.0,3.25,3.0,3.75,3.25,3.25,3.75,3.5,3.75,3.0,3.5,4.0,3.25,3.5
42,Institute employee suggestion or involvement programs.,Coordinate special events or programs.,"Coordinate group, community, or public activities.","Guiding, Directing, and Motivating Subordinates",3.375,0.016545359065293752,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.5,3.0
43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Recommend organizational process or policy changes.,Advise others on business or operational matters.,Provide Consultation and Advice to Others,3.375,0.017661886262319015,3.75,3.25,3.0,3.5,3.25,3.5,3.25,3.5,3.0,3.5,4.0,3.75,3.0,3.5,4.0,4.0,3.5,3.75,4.0,3.5,3.0,3.25,3.0,3.0
44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",Maintain knowledge of current developments in area of expertise.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,3.875,-0.051753438835267396,3.5,4.0,4.0,4.0,3.5,4.0,4.5,4.0,4.5,4.5,3.5,3.0,4.0,4.0,3.5,2.0,3.5,2.5,3.5,4.0,4.5,4.5,3.0,3.0
45,Negotiate materials prices with suppliers.,Negotiate sales or lease agreements for products or services.,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others,2.975,0.07082085854385323,4.5,4.5,2.0,4.0,3.0,2.5,2.0,4.0,2.5,3.5,4.5,2.0,2.5,2.0,4.5,3.5,4.0,4.0,4.5,1.0,3.0,2.5,2.5,2.5
46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",Supervise employees.,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates",3.8125,-0.09897497649850706,4.0,4.0,4.0,4.0,3.5,4.5,4.5,4.25,3.75,4.5,3.75,3.75,3.0,4.0,4.0,4.0,4.0,3.5,4.0,3.5,3.75,4.0,3.0,2.5
47,Establish objectives and evaluative or operational criteria for units they manage.,Develop procedures to evaluate organizational activities.,Develop operational or technical procedures or standards.,Developing Objectives and Strategies,3.2625,0.07496541941652612,2.75,4.0,3.5,3.5,2.5,3.75,3.0,4.0,3.5,3.5,3.5,3.0,2.25,2.5,2.25,3.25,3.25,3.0,3.5,2.0,3.0,4.0,3.5,4.0
48,"Direct or conduct recruitment, hiring, and training of personnel.",Recruit personnel.,Perform recruiting or hiring activities.,Staffing Organizational Units,3.1166666666666667,0.1294290508790219,3.6666666666666665,3.5,3.0,3.0,3.1666666666666665,3.0,2.5,3.333333333333333,2.1666666666666665,3.1666666666666665,3.8333333333333335,2.5,3.6666666666666665,2.5,3.6666666666666665,3.6666666666666665,3.5,3.6666666666666665,4.0,2.5,3.0,4.0,2.833333333333333,3.0
49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Maintain operational records.,Maintain operational records.,Documenting/Recording Information,3.65,-0.04448672898558881,4.0,3.5,3.5,3.5,3.75,3.25,3.5,3.5,3.5,4.0,3.5,4.5,4.0,4.25,3.25,4.0,3.75,3.25,4.25,3.5,3.5,3.5,3.0,3.0
50,Develop and implement organizational policies and procedures for the facility or medical unit.,"Develop operating strategies, plans, or procedures.","Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,3.833333333333333,-0.10081597468733383,4.0,4.0,4.166666666666667,3.6666666666666665,4.166666666666667,3.6666666666666665,4.0,4.333333333333333,4.0,4.0,3.8333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.166666666666667,3.8333333333333335,3.6666666666666665,3.6666666666666665,4.166666666666667,4.0,3.333333333333333,4.0,3.5,2.833333333333333
51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Prepare operational budgets.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",3.575,-0.01771018516131484,3.75,3.25,3.0,3.25,3.75,3.25,3.5,4.0,3.0,3.75,3.5,3.5,3.5,3.5,3.5,3.75,3.5,3.5,4.0,3.75,3.75,3.5,4.0,4.0
52,"Establish work schedules and assignments for staff, according to workload, space and equipment availability.",Prepare staff schedules or work assignments.,Assign work to others.,"Guiding, Directing, and Motivating Subordinates",3.15,0.11024069064386355,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
53,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.",Liaise between departments or other groups to improve function or communication.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",2.85,0.19766605769582446,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0
54,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.",Monitor resources.,Monitor resources or inventories.,Monitoring and Controlling Resources,3.9125,-0.11270816314610022,4.0,3.75,4.0,4.25,4.0,4.0,4.25,3.5,4.0,4.0,4.25,4.0,3.5,3.75,4.0,4.25,3.75,4.0,4.5,4.5,4.5,4.0,2.5,3.0
55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Maintain knowledge of current developments in area of expertise.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,3.875,-0.10980132260950848,3.5,4.0,4.0,4.0,3.5,4.0,4.5,4.0,4.5,4.5,3.5,3.0,4.0,4.0,3.5,2.0,3.5,2.5,3.5,4.0,4.5,4.5,3.0,3.0
56,"Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care.","Manage operations, research, or logistics projects.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.8,-0.07525053286102201,5.0,4.5,4.0,4.5,3.0,3.0,4.5,5.0,3.5,4.0,4.0,4.0,3.5,2.5,4.5,3.5,4.5,4.0,4.5,3.5,3.0,5.0,2.0,3.0
57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Prepare operational progress or status reports.,Prepare reports of operational or procedural activities.,Documenting/Recording Information,3.7,-0.0546302793494724,4.0,3.0,3.0,4.0,4.0,3.5,3.0,4.5,4.0,3.0,4.0,3.5,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.5
58,"Plan, implement and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Manage human resources activities.,Manage human resources activities.,"Guiding, Directing, and Motivating Subordinates",3.583333333333333,-0.019559538869733384,3.5,4.0,3.333333333333333,4.0,3.6666666666666665,3.5,3.0,3.5,3.6666666666666665,4.0,4.0,3.5,4.0,3.0,4.0,3.6666666666666665,3.6666666666666665,4.0,4.333333333333333,3.1666666666666665,3.333333333333333,4.333333333333333,3.0,2.833333333333333
59,"Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs.",Coordinate operational activities with external stakeholders.,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates",3.25,0.06753661472299832,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.5,3.5
60,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations.",Advise others on legal or regulatory compliance matters.,Advise others on legal or regulatory matters.,Provide Consultation and Advice to Others,3.025,0.13793891707949202,2.5,3.5,2.5,4.0,3.0,3.0,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,2.5,3.25,3.25,3.5,2.5,3.5,3.5,3.5,2.5
61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Analyze risks to minimize losses or damages.,Analyze business or financial risks.,Analyzing Data or Information,3.7375,-0.06151051464766022,3.5,4.0,4.0,3.75,3.5,3.5,3.5,3.25,4.25,3.75,4.0,4.0,4.25,4.0,4.25,3.0,2.75,3.5,4.25,4.0,3.5,3.5,3.0,3.25
62,"Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health.",Implement organizational process or policy changes.,Implement procedures or processes.,Making Decisions and Solving Problems,3.8,-0.07073395839429342,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
63,Develop instructional materials and conduct in-service and community-based educational programs.,Conduct employee training programs.,Train others on operational or work procedures.,Training and Teaching Others,3.325,0.046849715320922414,3.5,4.0,3.0,4.0,3.0,3.5,2.0,3.5,3.0,4.0,4.0,2.5,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.5,3.0,4.0,3.0,3.0
66,"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",Analyze consumer trends.,Analyze market or industry conditions.,Analyzing Data or Information,4.1,-0.07507884488272332,4.75,4.0,3.75,4.0,3.25,4.0,4.5,4.5,3.5,3.5,4.5,3.75,4.5,4.25,4.5,4.25,4.75,4.5,5.0,3.0,4.5,3.75,4.0,5.0
68,Authorize payment of invoices or return of merchandise.,Disburse funds from clients accounts to creditors.,Execute financial transactions.,Performing Administrative Activities,3.4,0.010086058564262146,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,2.5,3.0,4.5,4.0,3.0,3.0,3.5,3.0,3.0,3.5,3.5,3.0,3.5,4.25,3.75
72,Consult with store or merchandise managers about budgets or goods to be purchased.,"Discuss business strategies, practices, or policies with managers.",Communicate with others about business strategies.,"Communicating with Supervisors, Peers, or Subordinates",2.975,0.06678445084859064,3.0,4.0,2.5,3.5,2.0,2.0,3.5,3.0,3.0,3.0,3.0,2.0,3.5,2.0,3.5,3.5,4.0,3.0,4.0,3.0,2.5,2.0,4.0,4.0
76,Train or supervise sales or clerical staff.,Supervise employees.,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates",3.75,-0.031241823501194865,3.5,4.5,3.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,3.5,4.5,3.0,4.5,4.0,3.5,4.5,4.0,4.5,4.0,4.0,4.0,2.25,2.25
78,"Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Create marketing materials.,Develop marketing or promotional materials.,Thinking Creatively,3.0,0.05022550287406968,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0
79,Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Analyze market conditions or trends.,Analyze market or industry conditions.,Analyzing Data or Information,4.4,-0.09574399525633126,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
80,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Estimate costs of goods or services.,Determine values or prices of goods or services.,Making Decisions and Solving Problems,3.25,0.007845372216164215,4.0,4.0,3.0,3.5,3.0,3.5,2.5,3.0,3.0,3.0,3.0,2.5,3.5,2.5,3.0,3.5,3.5,3.5,3.5,3.0,3.5,4.0,4.0,3.0
81,"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.","Assess the cost effectiveness of products, projects, or services.","Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Things, Services, or People",3.4625,-0.010691147774480658,4.0,3.75,3.75,3.25,3.25,4.0,3.75,3.0,3.75,3.25,3.75,3.25,3.0,3.0,3.25,3.0,3.25,3.5,3.75,3.25,3.25,3.25,3.5,3.5
82,"Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues.",Confer with personnel to coordinate business operations.,Communicate with others about business strategies.,"Communicating with Supervisors, Peers, or Subordinates",2.725,0.05789097300590429,2.5,4.0,3.0,2.5,3.0,1.5,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.5,2.5,3.5,1.5,3.5,1.0,3.5,3.0,4.0,2.0
